AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
SMALL BUSINESS ADMINISTRATION,"OFFICE OF VETERANS' BUSINESS DEVELOPMENT ",ASSOCIATE ADMINISTRATOR FOR VETERANS BUSINESS DEVELOPMENT,Filled,CA,,"$225,700","Washington, DC",ELIAS,HERNANDEZ,ES,,,
SMALL BUSINESS ADMINISTRATION OFFICE OF THE INSPECTOR GENERAL,SMALL BUSINESS ADMINISTRATION OFFICE OF THE INSPECTOR GENERAL,INSPECTOR GENERAL,Vacant,PAS,,III,"Washington, DC",,,EX,,,
SMALL BUSINESS ADMINISTRATION OFFICE OF THE INSPECTOR GENERAL,SMALL BUSINESS ADMINISTRATION OFFICE OF THE INSPECTOR GENERAL,INSPECTOR GENERAL,Filled,PAS,,III,"Washington, DC",HANNIBAL,WARE,EX,,4/30/2018 12:00:00 AM,1/24/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF ANALYSIS, INTEGRATION, AND PERFORMANCE OVERSIGHT","ASSOCIATE COMMISSIONER FOR ANALYSIS, INTEGRATION, AND PERFORMANCE OVERSIGHT",Filled,CA,,"$225,700","WOODLAWN, MD",JEREMIAH,SCHOFIELD,ES,,,
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF ANALYSIS, INTEGRATION, AND PERFORMANCE OVERSIGHT","DEPUTY ASSOCIATE COMMISSIONER FOR ANALYSIS, INTEGRATION, AND PERFORMANCE OVERSIGHT",Filled,CA,,"$196,436","WOODLAWN, MD",ERIC,POWERS,ES,,,
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF ANALYSIS, INTEGRATION, AND PERFORMANCE OVERSIGHT","DEPUTY ASSOCIATE COMMISSIONER FOR ANALYSIS, INTEGRATION, AND PERFORMANCE OVERSIGHT",Filled,CA,,"$200,269","WOODLAWN, MD",KAREN,GIRARDEAU,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ANALYTICS AND IMPROVEMENTS,ASSOCIATE COMMISSIONER FOR ANALYTICS AND IMPROVEMENTS,Filled,CA,,"$210,805","WOODLAWN, MD",DOUGLAS,TURNBULL,ES,,12/29/2024 12:00:00 AM,6/16/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ANALYTICS AND IMPROVEMENTS,ASSOCIATE COMMISSIONER FOR ANALYTICS AND IMPROVEMENTS,Filled,CA,,"$210,805","WOODLAWN, MD",DOUGLAS,TURNBULL,ES,,6/17/2025 12:00:00 AM,6/18/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ANALYTICS AND IMPROVEMENTS,ASSOCIATE COMMISSIONER FOR ANALYTICS AND IMPROVEMENTS,Filled,CA,,"$210,805","WOODLAWN, MD",DOUGLAS,TURNBULL,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ANALYTICS AND IMPROVEMENTS,DEPUTY ASSOCIATE COMMISSIONER FOR ANALYTICS AND IMPROVEMENTS,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ANALYTICS AND IMPROVEMENTS,DEPUTY ASSOCIATE COMMISSIONER FOR ANALYTICS AND IMPROVEMENTS,Filled,CA,,,"WOODLAWN, MD",NANCY,CHUNG,ES,,6/30/2024 12:00:00 AM,3/1/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF APPELLATE OPERATIONS,SENIOR ADVISOR,Filled,CA,,"$219,103","WOODLAWN, MD",CLAUDIA,POSTELL,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF BENEFIT INFORMATION SYSTEMS,ASSOCIATE COMMISSIONER FOR BENEFIT INFORMATION SYSTEMS,Filled,CA,,"$214,415","WOODLAWN, MD",DJIMY,CHAPRON,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF BENEFIT INFORMATION SYSTEMS,DEPUTY ASSOCIATE COMMISSIONER FOR BENEFIT INFORMATION SYSTEMS,Filled,CA,,"$207,545","WOODLAWN, MD",MICHELE,HOLCOMBE,ES,,,
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FACILITIES AND SECURITY","ASSOCIATE COMMISSIONER FOR BUDGET, FACILITIES AND SECURITY",Filled,CA,,,"FALLS CHURCH, VA",TIFFANY,FLICK,ES,,12/17/2023 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FACILITIES AND SECURITY","DEPUTY ASSOCIATE COMMISSIONER FOR BUDGET, FACILITIES AND SECURITY",Filled,CA,,,"FALLS CHURCH, VA",JAMES,VAN DER SCHALIE,ES,,7/28/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, AND MANAGEMENT","ASSISTANT DEPUTY COMMISSIONER FOR BUDGET, FINANCE, AND MANAGEMENT (MANAGEMENT)",Filled,CA,,,"WOODLAWN, MD",DANIEL,CALLAHAN,ES,,11/10/2019 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, AND MANAGEMENT","DEPUTY COMMISSIONER FOR BUDGET, FINANCE, AND MANAGEMENT",Filled,CA,,,"WOODLAWN, MD",SEAN,BRUNE,ES,,11/17/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSISTANT ASSOCIATE COMMISSIONER FOR DISABILITY OPERATIONS,Filled,CA,,"$207,500","WOODLAWN, MD",SHANNON,EBRON,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSISTANT ASSOCIATE COMMISSIONER FOR EARNINGS AND INTERNATIONAL OPERATIONS,Filled,CA,,"$205,156","WOODLAWN, MD",DENISE,WILEY,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSISTANT ASSOCIATE COMMISSIONER FOR MANAGEMENT AND OPERATIONS SUPPORT,Filled,CA,,,"WOODLAWN, MD",DENISE,WILEY,ES,,11/8/2020 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSISTANT ASSOCIATE COMMISSIONER FOR PROCESSING CENTER OPERATIONS,Filled,CA,,"$198,155","PHILADELPHIA, PA",PATRICK,ROBINSON,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSISTANT ASSOCIATE COMMISSIONER FOR PROCESSING CENTER OPERATIONS,Filled,CA,,"$210,805","BIRMINGHAM, AL",BILLY,DONNER,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSISTANT ASSOCIATE COMMISSIONER FOR PROCESSING CENTER OPERATIONS,Filled,CA,,"$210,805","CHICAGO, IL",MARGARET,SLETTEN,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,ASSOCIATE COMMISSIONER FOR CENTRAL OPERATIONS,Filled,CA,,"$213,752","WOODLAWN, MD",JOHN,LEUCHTMAN,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,DEPUTY ASSOCIATE COMMISSIONER FOR CENTRAL OPERATIONS,Filled,CA,,"$207,252","WOODLAWN, MD",SHANNON,WITTMAN,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF CENTRAL OPERATIONS,DEPUTY ASSOCIATE COMMISSIONER FOR CENTRAL OPERATIONS,Filled,CA,,"$185,225","WOODLAWN, MD",RANDOE,DICE,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF COMMUNICATIONS,ASSISTANT DEPUTY COMMISSIONER FOR COMMUNICATIONS,Filled,CA,,,"WOODLAWN, MD",JEFFREY,BUCKNER,ES,,7/16/2023 12:00:00 AM,4/20/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF COMMUNICATIONS,CHIEF COMMUNICATIONS OFFICER,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF COMMUNICATIONS,CHIEF COMMUNICATIONS OFFICER,Filled,CA,,,"WOODLAWN, MD",JEFFREY,BUCKNER,ES,,1/22/2025 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,"OFFICE OF DATA EXCHANGE,  POLICY PUBLICATIONS, AND INTERNATIONAL NEGOTIATIONS","ASSOCIATE COMMISSIONER FOR DATA EXCHANGE, POLICY PUBLICATIONS, AND INTERNATIONAL NEGOTIATIONS",Filled,CA,,,"WOODLAWN, MD",CHRISTOPHER,MCDERMOTT,ES,,6/2/2024 12:00:00 AM,5/17/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DIGITAL TRANSFORMATION,ASSOCIATE COMMISSIONER FOR DIGITAL TRANSFORMATION,Filled,CA,,"$200,419","WOODLAWN, MD",ANDREA,VELEZ,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DIGITAL TRANSFORMATION,DEPUTY ASSOCIATE COMMISSIONER FOR DIGITAL TRANSFORMATION,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DIGITAL TRANSFORMATION,DEPUTY ASSOCIATE COMMISSIONER FOR DIGITAL TRANSFORMATION,Filled,CA,,,"WOODLAWN, MD",MICHAEL,LIN,ES,,5/19/2024 12:00:00 AM,5/17/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY ADJUDICATION,ASSISTANT DEPUTY COMMISSIONER FOR DISABILITY ADJUDICATION,Filled,CA,,"$214,378","WOODLAWN, MD",JATIN,PARIKH,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY ADJUDICATION,DEPUTY COMMISSIONER FOR DISABILITY ADJUDICATION,Filled,CG,,,"WOODLAWN, MD",Jesus,Ortis,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY INFORMATION SYSTEMS,ASSOCIATE COMMISSIONER FOR DISABILITY INFORMATION SYSTEMS,Filled,CA,,"$214,157","WOODLAWN, MD",MELANIE,BURNS,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY INFORMATION SYSTEMS,DEPUTY ASSOCIATE COMMISSIONER FOR DISABILITY INFORMATION SYSTEMS,Vacant,TA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY POLICY,ASSOCIATE COMMISSIONER FOR DISABILITY POLICY,Filled,CA,,"$214,415","WOODLAWN, MD",HOPE,GRUNBERG,ES,,6/2/2024 12:00:00 AM,4/5/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY POLICY,ASSOCIATE COMMISSIONER FOR DISABILITY POLICY,Filled,CA,,"$214,415","WOODLAWN, MD",SUSAN,WILSCHKE,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY POLICY,DEPUTY ASSOCIATE COMMISSIONER FOR DISABILITY POLICY,Filled,CA,,"$204,000","WOODLAWN, MD",ROBERT,WEATHERS,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ELECTRONIC SERVICES AND SYSTEMS INTEGRATION,ASSOCIATE COMMISSIONER FOR ELECTRONIC SERVICES AND STRATEGIC INFORMATION,Filled,CA,,,"FALLS CHURCH, VA",MONIQUE,CEPHAS,ES,,10/6/2024 12:00:00 AM,5/3/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ELECTRONIC SERVICES AND SYSTEMS INTEGRATION,DEPUTY ASSOCIATE COMMISSIONER FOR ELECTRONIC SERVICES AND STRATEGIC INFORMATION,Filled,CA,,,"FALLS CHURCH, VA",LEROY,WEEKS,ES,,10/6/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ELECTRONIC SERVICES AND TECHNOLOGY,ASSOCIATE COMMISSIONER FOR ELECTRONIC SERVICES AND TECHNOLOGY,Filled,CA,,,"WOODLAWN, MD",SAMARA,RICHARDSON,ES,,12/18/2022 12:00:00 AM,3/30/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ELECTRONIC SERVICES AND TECHNOLOGY,DEPUTY ASSOCIATE COMMISSIONER FOR ELECTRONIC SERVICES AND TECHNOLOGY,Filled,CA,,,"WOODLAWN, MD",RODERICK,HAIRSTON,ES,,12/18/2022 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ENTERPRISE INFORMATION SYSTEMS,DEPUTY ASSOCIATE COMMISSIONER FOR ENTERPRISE INFORMATION SYSTEMS,Vacant,CG,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF ENTERPRISE INFORMATION SYSTEMS,DEPUTY ASSOCIATE COMMISSIONER FOR ENTERPRISE INFORMATION SYSTEMS,Filled,CG,,,"WOODLAWN, MD",HEATHER,POTTS,ES,,10/6/2024 12:00:00 AM,6/3/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF EXECUTIVE OPERATIONS AND STRATEGIC MANAGEMENT,ASSOCIATE COMMISSIONER FOR EXECUTIVE OPERATIONS AND STRATEGIC MANAGEMENT,Filled,CA,,,"FALLS CHURCH, VA",OREN,MCKNELLY,ES,,12/29/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF FACILITIES AND LOGISTICS MANAGEMENT,ASSOCIATE COMMISSIONER FOR FACILITIES AND LOGISTICS MANAGEMENT,Filled,CA,,,"WOODLAWN, MD",MARC,MASON,ES,,10/1/2017 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF FACILITIES AND LOGISTICS MANAGEMENT,DEPUTY ASSOCIATE COMMISSIONER FOR FACILITIES AND LOGISTICS MANAGEMENT,Filled,CA,,,"WOODLAWN, MD",TIMOTHY,BEAVERS,ES,,2/28/2021 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF FACILITIES AND SECURITY MANAGEMENT,DEPUTY ASSOCIATE COMMISSIONER FOR FACILITIES AND SECURITY MANAGEMENT,Filled,CA,,"$208,405","WOODLAWN, MD",MARC,MASON,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF FACILITIES AND SECURITY MANAGEMENT,DEPUTY ASSOCIATE COMMISSIONER FOR FACILITIES AND SECURITY MANAGEMENT,Filled,CA,,"$206,339","WOODLAWN, MD",TIMOTHY,BEAVERS,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF FACILITIES AND SECURITY MANAGEMENT,DEPUTY ASSOCIATE COMMISSIONER FOR FACILITIES AND SECURITY MANAGEMENT,Filled,CA,,"$214,415","WOODLAWN, MD",DAWN,MCCROBIE,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF GENERAL LAW,ASSOCIATE GENERAL COUNSEL FOR GENERAL LAW (OFFICE 2),Filled,CA,,"$207,500","WOODLAWN, MD",WALTER,PARKER,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF GENERAL LAW,ASSOCIATE GENERAL COUNSEL FOR GENERAL LAW (OFFICE 4),Filled,CA,,"$198,341","WOODLAWN, MD",SHARESE,REYES,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HEARINGS OPERATIONS,ASSISTANT DEPUTY COMMISSIONER FOR HEARINGS OPERATIONS (MISSION SUPPORT),Filled,CA,,,"WOODLAWN, MD",JATIN,PARIKH,ES,,8/13/2023 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HEARINGS OPERATIONS,SENIOR ADVISOR,Filled,CA,,"$212,352","WOODLAWN, MD",TANYA,LAWRENCE,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,ASSISTANT DEPUTY COMMISSIONER FOR HUMAN RESOURCES,Filled,CA,,,"WOODLAWN, MD",KRISTEN,MEDLEY-PROCTOR,ES,,8/25/2024 12:00:00 AM,3/7/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,DEPUTY COMMISSIONER FOR HUMAN RESOURCES,Filled,CA,,"$225,700","WOODLAWN, MD",FLORENCE,FELIX-LAWSON,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES OPERATIONS,ASSOCIATE COMMISSIONER FOR HUMAN RESOURCES OPERATIONS,Filled,CA,,"$207,545","WOODLAWN, MD",MONIQUE,CEPHAS,ES,,5/4/2025 12:00:00 AM,6/21/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES OPERATIONS,ASSOCIATE COMMISSIONER FOR HUMAN RESOURCES OPERATIONS,Filled,CA,,"$207,545","WOODLAWN, MD",MONIQUE,CEPHAS,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES OPERATIONS,DEPUTY ASSOCIATE COMMISSIONER FOR HUMAN RESOURCES OPERATIONS,Filled,CG,,,"WOODLAWN, MD",Amanda,Spangler,ES,,4/25/2025 12:00:00 AM,6/21/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES OPERATIONS,DEPUTY ASSOCIATE COMMISSIONER FOR HUMAN RESOURCES OPERATIONS,Filled,CA,,,"WOODLAWN, MD",Amanda,Spangler,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INCOME SECURITY PROGRAMS,ASSOCIATE COMMISSIONER FOR INCOME SECURITY PROGRAMS,Filled,CA,,"$214,415","WOODLAWN, MD",JESSICA,BURNS MACBRIDE,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INCOME SECURITY PROGRAMS,DEPUTY ASSOCIATE COMMISSIONER FOR INCOME SECURITY PROGRAMS,Filled,CA,,"$210,805","WOODLAWN, MD",JENNIFER,STEVENSON,ES,,7/28/2024 12:00:00 AM,2/22/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INCOME SECURITY PROGRAMS,DEPUTY ASSOCIATE COMMISSIONER FOR INCOME SECURITY PROGRAMS,Filled,CA,,"$204,125","WOODLAWN, MD",SHEREE,MYERS,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INFORMATION SECURITY,DEPUTY ASSOCIATE COMMISSIONER FOR INFORMATION SECURITY,Filled,CG,,,"WOODLAWN, MD",Melissa,Cortezzo,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INFORMATION SECURITY,DEPUTY ASSOCIATE COMMISSIONER FOR INFORMATION SECURITY (SECURITY OPERATIONS),Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INFORMATION SECURITY,DEPUTY ASSOCIATE COMMISSIONER FOR INFORMATION SECURITY (SECURITY OPERATIONS),Filled,CA,,,"WOODLAWN, MD",TIMOTHY,AMERSON,ES,,9/25/2022 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF INFORMATION SECURITY,DEPUTY ASSOCIATE COMMISSIONER FOR INFORMATION SECURITY (SECURITY OPERATIONS),Filled,CG,,,"WOODLAWN, MD",JOSEPH,CUNNINGHAM,ES,,12/1/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LABOR-MANAGEMENT AND EMPLOYEE RELATIONS,ASSOCIATE COMMISSIONER FOR LABOR-MANAGEMENT AND EMPLOYEE RELATIONS,Filled,CA,,"$210,120","WOODLAWN, MD",EDWARD,TAYLOR,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LABOR-MANAGEMENT AND EMPLOYEE RELATIONS,DEPUTY ASSOCIATE COMMISSIONER FOR LABOR-MANAGEMENT AND EMPLOYEE RELATIONS,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LAW AND POLICY,DEPUTY COMMISSIONER FOR LAW AND POLICY / GENERAL COUNSEL,Filled,NA,,"$195,200","WOODLAWN, MD",MARK,STEFFENSEN,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGAL OPERATIONS,EXECUTIVE DIRECTOR FOR LEGAL OPERATIONS,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,ASSISTANT DEPUTY COMMISSIONER FOR LEGISLATION AND CONGRESSIONAL AFFAIRS,Filled,CA,,,"Washington, DC",ERIC,SKIDMORE,ES,,10/6/2024 12:00:00 AM,3/14/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,DEPUTY COMMISSIONER FOR LEGISLATION AND CONGRESSIONAL AFFAIRS,Filled,CA,,,"Washington, DC",ERIC,SKIDMORE,ES,,1/22/2025 12:00:00 AM,2/12/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGISLATIVE DEVELOPMENT AND OPERATIONS,ASSOCIATE COMMISSIONER FOR LEGISLATIVE DEVELOPMENT,Filled,CA,,,"WOODLAWN, MD",ERIK,HANSEN,ES,,7/12/2015 12:00:00 AM,5/17/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF MANAGEMENT,ASSISTANT ASSOCIATE COMMISSIONER FOR MANAGEMENT,Filled,CA,,"$200,689","WOODLAWN, MD",LEROY,WEEKS,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF MISSION SUPPORT,DEPUTY COMMISSIONER FOR MISSION SUPPORT,Filled,NA,,"$195,200","NEW YORK NEW YORK, NY",THOMAS,HOLLAND,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF MISSION SUPPORT,SENIOR ADVISOR,Filled,CA,,"$202,064","WOODLAWN, MD",ADAM,KAVALSKY,ES,,1/26/2025 12:00:00 AM,6/17/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF MISSION SUPPORT,SENIOR ADVISOR,Filled,CA,,"$202,064","WOODLAWN, MD",ADAM,KAVALSKY,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,ASSISTANT DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,"$214,415","WOODLAWN, MD",K,CUMMING,ES,,11/17/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,ASSISTANT DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,"$207,011","WOODLAWN, MD",DELMA,CARDONA,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,ASSISTANT DEPUTY COMMISSIONER FOR OPERATIONS,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,ASSISTANT DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,,"WOODLAWN, MD",DORIS,DIAZ,ES,,11/17/2024 12:00:00 AM,5/17/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,ASSISTANT DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,"$210,805","ATLANTA, GA",JENNIFER,STEVENSON,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,"$225,700","WOODLAWN, MD",MICHELLE,KING,ES,,5/21/2023 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,"$225,700","WOODLAWN, MD",STEPHEN,EVANGELISTA,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,SENIOR ADVISOR,Filled,CA,,,"WOODLAWN, MD",RYAN,FELBER,ES,,12/18/2022 12:00:00 AM,3/16/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,SENIOR ADVISOR TO THE DEPUTY COMMISSIONER FOR OPERATIONS,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,SENIOR ADVISOR TO THE DEPUTY COMMISSIONER FOR OPERATIONS,Filled,CA,,,"WOODLAWN, MD",ERIC,POWERS,ES,,3/6/2025 12:00:00 AM,5/2/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF PROGRAM LAW,ASSOCIATE GENERAL COUNSEL FOR PROGRAM LAW,Filled,CA,,"$214,415","WOODLAWN, MD",MONA,AHMED,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF PROGRAM LAW,DEPUTY ASSOCIATE GENERAL COUNSEL FOR PROGRAM LAW,Vacant,CA,,,"WOODLAWN, MD",,,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF PROGRAM LAW,DEPUTY ASSOCIATE GENERAL COUNSEL FOR PROGRAM LAW,Filled,CA,,,"WOODLAWN, MD",DENNIS,FOLEY,ES,,5/5/2024 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF PUBLIC SERVICE AND OPERATIONS SUPPORT,ASSOCIATE COMMISSIONER FOR PUBLIC SERVICE AND OPERATIONS SUPPORT,Filled,CA,,,"WOODLAWN, MD",JEREMIAH,SCHOFIELD,ES,,6/2/2024 12:00:00 AM,3/8/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF PUBLIC SERVICE AND OPERATIONS SUPPORT,DEPUTY ASSOCIATE COMMISSIONER FOR PUBLIC SERVICE AND OPERATIONS SUPPORT,Filled,CA,,,"WOODLAWN, MD",K,CUMMING,ES,,10/2/2016 12:00:00 AM,2/28/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF QUALITY REVIEW,ASSOCIATE COMMISSIONER FOR QUALITY REVIEW,Filled,CA,,"$214,415","WOODLAWN, MD",JAMIE,LUCERO,ES,,12/30/2024 12:00:00 AM,6/16/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF QUALITY REVIEW,ASSOCIATE COMMISSIONER FOR QUALITY REVIEW,Filled,CA,,"$214,415","WOODLAWN, MD",JAMIE,LUCERO,ES,,6/18/2025 12:00:00 AM,6/21/2025 12:00:00 AM
SOCIAL SECURITY ADMINISTRATION,OFFICE OF QUALITY REVIEW,ASSOCIATE COMMISSIONER FOR QUALITY REVIEW,Filled,CA,,"$214,415","WOODLAWN, MD",JAMIE,LUCERO,ES,,,
SOCIAL SECURITY ADMINISTRATION,OFFICE OF QUALITY REVIEW,DEPUTY ASSOCIATE COMMISSIONER FOR QUALITY REVIEW,Filled,CA,,"$205,136","WOODLAWN, MD",BETTY,FERGUSON,ES,,2/23/2025 12:00:00 AM,6/16/2025 12:00:00 AM
